Date,Country,CountryCode,Region,Location,EnergySource,EnergySubSector,Borrower,Lender,Amount ($m),Description,BRI Membership,,,,,,,,,,,,,,,,,,,
2014,Laos,LAO,Southeast Asia,junction of Xeset River between Saravan and Champassak provinces,Hydropower,Power Generation,Government,Ex-Im Bank,50.73,Xeset III Hydropower Project,1,,,,,,,,,,,,,,,,,,,
2014,Mali,MLI,Africa,Niger River Basin,Hydropower,Power Generation,Government,Ex-Im Bank,99,Taoussa Hydropower Plant,1,,,,,,,,,,,,,,,,,,,
2014,Morocco,MAR,Africa,"Jerada, Jerada Province, Oriental Region",Coal,Power Generation,"Office National de l'Electricité et de l'Eau Potable, Sepco III",Ex-Im Bank,300,Jerada Power Station Extension,1,,,,,,,,,,,,,,,,,,,
2014,Nepal,NPL,South Asia,"Lamjung district, Gandaki Pradesh",Hydropower,Power Generation,Sinohydro-Sagarmatha Power Co.,Ex-Im Bank,165.9,50-MW Upper Marsyandgi hydroelectric plant ,1,,,,,,,,,,,,,,,,,,,
2014,Pakistan,PAK,South Asia,"Paradise Point, Karachi, Sindh",Nuclear,Power Generation,Government,Ex-Im Bank,6500,Karachi Nuclear Power Complex (K-2/K-3),1,,,,,,,,,,,,,,,,,,,
2014,Serbia,SRB,Europe/Central Asia,"Požarevac, Serbia",Coal,Power Generation,Government,Ex-Im Bank,608,"Kostolac B2 (retrofit), Kostolac B3 (new), and Expansion of Drmno Mine",1,,,,,,,,,,,,,,,,,,,
2014,Tajikistan,TJK,Europe/Central Asia,Dushanbe,Coal,Power Generation,Barqi Tojik (national integrated power company),Ex-Im Bank,331.6,Dushanbe-2 Combined Heat and Power (CHP) Plant,1,,,,,,,,,,,,,,,,,,,
2014,Vietnam,VNM,Southeast Asia,"Quảng Ninh Province, Vietnam",Coal,Power Generation,Thang Long thermal power joint stock company,CDB,645,Thang Long Power Plant (600MW),1,,,,,,,,,,,,,,,,,,,
2014,Vietnam,VNM,Southeast Asia,"Binh Thuan Province, Vietnam",Coal,Power Generation,"China Power International Development Limited Company (possible supplier's credit？), Power Corporation (Vietnam National Coal-Natural Industries Corporation)",CDB-Ex-Im Cofinancing,1404,"Vinh Tan 1 Coal-Fired Thermal Power Plant with  ICBC, BOC & Sinosure",1,,,,,,,,,,,,,,,,,,,
2014,Zambia,ZMB,Africa,Kariba Gorge to Kafue Gorge,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,41,Kariba North Bank and Kafue West Transmission,1,,,,,,,,,,,,,,,,,,,
2015,"Benin, Togo","BEN, TGO",Africa,"Adjarala, between Togo and Benin",Hydropower,Power Generation,Government,Ex-Im Bank,550,Adjarala Hydroelectric Project,1,,,,,,,,,,,,,,,,,,,
2015,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,"Petrobras, Netherland sub-company",CDB,1500,Unspecified Oil Exploration,0,,,,,,,,,,,,,,,,,,,
2015,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,Ex-Im Bank,3150,Unspecified Oil Cooperation,0,,,,,,,,,,,,,,,,,,,
2015,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,CDB,3500,Oil Export,0,,,,,,,,,,,,,,,,,,,
2015,Cuba,CUB,LAC,Matanzas,Biomass,Power Generation,Government,Ex-Im Bank,60,Jesus Rabi Biomass Power Plant 20 MW,1,,,,,,,,,,,,,,,,,,,
2015,Ecuador,ECU,LAC,Nationwide,Unspecified,Energy Efficiency,Government,Ex-Im Bank,250,Energy Saving Programs,1,,,,,,,,,,,,,,,,,,,
2015,Ethiopia,ETH,Africa,Southern Ethopia,Hydropower,Transmission and Distribution,Government,Ex-Im Bank,250,Transmission Project of Genale Dawa III-Yirgalem II-Wolayita Sodo II-Hawassa II,1,,,,,,,,,,,,,,,,,,,
2015,Indonesia,IDN,Southeast Asia,"Tanjung Tiram, South Konawe, Southeast Sulawesi",Coal,Power Generation,PT Dian Swastatika Sentosa Tbk,CDB,150,Kendari-3 Power Station (100MW),1,,,,,,,,,,,,,,,,,,,
2015,Indonesia,IDN,Southeast Asia,"Approximate of Bungo Regency, Jambi Province",Coal,Power Generation,Sinar Mas Group,CDB,500,Jambi DSS Power Station,1,,,,,,,,,,,,,,,,,,,
2015,Indonesia,IDN,Southeast Asia,"Muara Lenim and Lahat Regencies, South Sumatra Province",Coal,Power Generation,Huadian Bukit Asam,Ex-Im Bank,1200,"Bangko Tengah, aka South Sumatra 8 or Sumsel-8",1,,,,,,,,,,,,,,,,,,,
2015,Kenya,KEN,Africa,Unspecified,Geothermal,Exploration and Extraction,KENGEN,Ex-Im Bank,400,Drilling Geothermal Stream,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,"Thatta District, Sindh, Pakistan",Wind,Power Generation,UEP Wind Power (Private) Limited,CDB,250,Jhmpir Wind Power Plant,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,"Muzaffarabad, Azad Jammu & Kashmir, Pakistan",Hydropower,Power Generation,Government,Ex-Im Bank,576,Neelum-Jhelum Hydro Station,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,"Tharparkar District, Sindh, Pakistan",Coal,Power Generation,Sindh Engro Coal Mining Company,CDB,820,"Thar Engro Power Station with ICBC, CCB, Commerical Bank of China",1,,,,,,,,,,,,,,,,,,,
2017,Pakistan,PAK,South Asia,"Mansehra District, Khyber Pakhtunkhwa",Hydropower,Power Generation,"Al-Jomaih Holding Company (LLC) (Saudi Arabia), China Gezhouba Group Company (China) and Haseeb Khan (Pvt) Ltd (Pakistan)",Ex-Im Bank,1350,Suki Kinari Hydropower Project with ICBC,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,"Bahawalpur, Punjab, Pakistan",Solar,Power Generation,Government,CDB-Ex-Im Cofinancing,1500,Quaid-e-Azam Solar Park Phase II and III,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,"Port Qasim, Sindh, Pakistan",Coal,Power Generation,Al-Mirqab Capital and China's Power Construction Corporation,Ex-Im Bank,1563.75,Pakistan Port Qasim Power Project with Individual Companies,1,,,,,,,,,,,,,,,,,,,
2015,Pakistan,PAK,South Asia,From Gwadar to Nawabshah,Gas/LNG,Transmission and Distribution,Government,Ex-Im Bank,2706,Gwadar-Nawabshah LNG terminal and pipeline project,1,,,,,,,,,,,,,,,,,,,
2015,Uganda,UGA,Africa,Karuma Falls on the Victoria Nile,Hydropower,Power Generation,Government,Ex-Im Bank,482.5,Isimba Hydroelectric Power Station,1,,,,,,,,,,,,,,,,,,,
2015,United Kingdom,GBR,Europe/Central Asia,"Somerset, England",Nuclear,Power Generation,"Government, Engro Powergen, Thal Limited, Hub Power Company, Habib Bank Limited, and China Machinery Engineering Corporation",CDB,7772,HPC Nuclear Project,0,,,,,,,,,,,,,,,,,,,
2015,Zambia,ZMB,Africa,Chikankata District,Hydropower,Power Generation,Government,Ex-Im Bank,1700,Kafue Gorge Lower Hydro-Power Project with ICBC,1,,,,,,,,,,,,,,,,,,,
2018,Zimbabwe,ZWE,Africa,"Hwange, Hwange District, Matabeleland North Province",Coal,Power Generation,Zimbabwe Power Company,Ex-Im Bank,998,Hwange Thermal Power Station Expansion (Unit 7-8),1,,,,,,,,,,,,,,,,,,,
2016,Angola,AGO,Africa,Unspecified,Oil,Exploration and Extraction,Government,CDB,6900,Unspecified Oil Export,1,,,,,,,,,,,,,,,,,,,
2016,Bangladesh,BGD,South Asia,Chittagong,Gas/LNG,Transmission and Distribution,Bangladesh Petroleum Corporation,Ex-Im Bank,542.04,220KM Pipeline,1,,,,,,,,,,,,,,,,,,,
2016,Bangladesh,BGD,South Asia,"Kalapara, Patuakhali",Coal,Power Generation,Bangladesh-China Power Company Limited,Ex-Im Bank,1984,Payra 1320 (2x660) MW Thermal Power Plant Project (Kalapara Phase I),1,,,,,,,,,,,,,,,,,,,
2016,Bolivia,BOL,LAC,Grande River in Santa Cruz,Hydropower,Power Generation,ENDE,Ex-Im Bank,1000,Rositas Hydroelectric Power Plant,1,,,,,,,,,,,,,,,,,,,
2016,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,CDB,5000,"Supply Contract to CNOOC, Zhenhua and CNPC",0,,,,,,,,,,,,,,,,,,,
2016,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,CDB,10000,Unspecified Oil Export; Debt Financing,0,,,,,,,,,,,,,,,,,,,
2016,Cambodia,KHM,Southeast Asia,Nationwide,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,100,Rural Power Grid Extension Project Phase 5 and 6,1,,,,,,,,,,,,,,,,,,,
2016,Indonesia,IDN,Southeast Asia,"Java Island, Indonesia, about 100km northwest of Jakarta",Coal,Power Generation,Shenhua Group and PT PLN subsidiary,CDB,1800,Java-7 Coal-Fired Power Plant (2000MW),1,,,,,,,,,,,,,,,,,,,
2016,Indonesia,IDN,Southeast Asia,Western Indonesia Bengkulu Province,Coal,Power Generation,PT Intraco Penta and PowerChina,Ex-Im Bank,270,Bengkulu Power Station,1,,,,,,,,,,,,,,,,,,,
2016,Laos,LAO,Southeast Asia,Salavan-Sekong,Hydropower,Transmission and Distribution,Government,Ex-Im Bank,377,Salavan-Sekong II Power Transmission Project,1,,,,,,,,,,,,,,,,,,,
2016,Russia,RUS,Europe/Central Asia,Unspecified,Gas/LNG,Transmission and Distribution,Gazprom,CDB,2500,Europe – China International Transport Route; Various Energy Cooperation,1,,,,,,,,,,,,,,,,,,,
2016,Russia,RUS,Europe/Central Asia,Yamal Peninsula,Gas/LNG,Multipurpose,Yamal LNG,CDB-Ex-Im Cofinancing,10830,Yamal LNG,1,,,,,,,,,,,,,,,,,,,
2016,Serbia,SRB,Europe/Central Asia,Loznica,Gas/LNG,Power Generation,CNEEC and Scarborough Group International,CDB,255.351274535927,Loznica Thermal Power Station,1,,,,,,,,,,,,,,,,,,,
2016,South Africa,ZAF,Africa,Mpumalanga and Limpopo Provinces,Coal,Power Generation,Eskom,CDB,500,"Medupi, Kusile and Ingula Power Stations",1,,,,,,,,,,,,,,,,,,,
2016,Venezuela,VEN,LAC,Orinoco Oil Belt,Oil,Multipurpose,Petroleos de Venezuela,CDB,2200,New Dehydration and Desalination Plant; expansion of Jose Processing Plant in Anzoategui,1,,,,,,,,,,,,,,,,,,,
2017,Argentina,ARG,LAC,"Cauchari Salt Flat, Jujuy Province",Solar,Power Generation,Government,Ex-Im Bank,331.5,"Cauchari Solar Park (I, II and III)",0,,,,,,,,,,,,,,,,,,,
2017,Bangladesh,BGD,South Asia,Chittagong,Oil,Transmission and Distribution,Government,Ex-Im Bank,694,"Oil Tanker Mooring Platform, Underwater and Onshore Pipeline",1,,,,,,,,,,,,,,,,,,,
2017,Brazil,BRA,LAC,Unspecified,Oil,Exploration and Extraction,Petrobras,CDB,5000,"Preferential Supply Contract with Unipec Asia Company, Loan Disbursed Dec 2017-Jan 2018",0,,,,,,,,,,,,,,,,,,,
2017,Cameroon,CMR,Africa,"Ntem River, Southwest of Cameroon",Hydropower,Power Generation,Government,Ex-Im Bank,142,Memvélé Dam Additonal Fund (Drain),1,,,,,,,,,,,,,,,,,,,
2017,Cuba,CUB,LAC,Mariel Development Zone,Solar,Power Generation,Government,Ex-Im Bank,60,50 MW Solar Park,1,,,,,,,,,,,,,,,,,,,
2017,Egypt,EGY,Africa,Nationwide,Unspecified,Transmission and Distribution,Egyptian Electricity Transmission Company,CDB-Ex-Im Cofinancing,757,"Egyptian Unified Power Grid (transmission stations, cable, transmitter)",1,,,,,,,,,,,,,,,,,,,
2017,Ethiopia,ETH,Africa,Addis Ababa,Unspecified,Transmission and Distribution,Ethiopian Electric Power,Ex-Im Bank,83.3,Electricity Supply Project for Bole-Lemi and Kilinto Industrial Parks,1,,,,,,,,,,,,,,,,,,,
2017,Ethiopia,ETH,Africa,Somali Regional State,Wind,Power Generation,Government,Ex-Im Bank,218.45,120-MW Aysha II wind farm,1,,,,,,,,,,,,,,,,,,,
2017,Indonesia,IDN,Southeast Asia,"Bahodopi, Morowali, Central Sulawesi, Indonesia",Coal,Power Generation,Indonesia Guang ching nickel & stainless steel industry/ Guangdong Guangxin Holdings Group,Ex-Im Bank,700,Indonesia Morowali Industrial Park Captive Coal-Fired Power Plant (300MW),1,,,,,,,,,,,,,,,,,,,
2017,Iran,IRN,Middle East,Between Tehran and Mashhad,Unspecified,Transmission and Distribution,Islamic Republic of Iran Railways (IRIR),Ex-Im Bank,1500,"Electrification of Railroad between Tehran, Qom and Isfahan",1,,,,,,,,,,,,,,,,,,,
2017,Jordan,JOR,Middle East,Attarat Um Ghudran oil shale deposit (approximately 100km southeast of Amman),Oil,Power Generation,Attarat Power Company (APCO),Ex-Im Bank,150,"Oil Shale-Fired Plant with the Government of Jordan, NEPCO, GPEC, Sinosure, China Construction Bank",0,,,,,,,,,,,,,,,,,,,
2017,Kenya,KEN,Africa,Nairobi,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,128,Nairobi Transmission Grid Upgrade,1,,,,,,,,,,,,,,,,,,,
2017,Kenya,KEN,Africa,Garissa and Isiolo,Unspecified,Transmission and Distribution,Ketraco,Ex-Im Bank,134,285km/220KV Electricity Transmission Line and Three Converting Stations,1,,,,,,,,,,,,,,,,,,,
2017,Kenya,KEN,Africa,Garissa,Solar,Power Generation,Government,Ex-Im Bank,135.7,Garissa-based 55MW solar farm,1,,,,,,,,,,,,,,,,,,,
2017,Laos,LAO,Southeast Asia,Xayaburi province,Hydropower,Power Generation,Government,Ex-Im Bank,1700,Pak Lay Dam,1,,,,,,,,,,,,,,,,,,,
2017,Laos,LAO,Southeast Asia,Pak Ngeuy-Pha Oudom,Hydropower,Transmission and Distribution,EDL,Ex-Im Bank,169,230kV Pak Ngeuy-Pha Oudom Transmission Line and Associated Substation Project,1,,,,,,,,,,,,,,,,,,,
2017,Laos,LAO,Southeast Asia,Nam Phay,Hydropower,Power Generation,EDL & Norinco joint,Ex-Im Bank,367.29,86-MW Nam Phay hydropower project,1,,,,,,,,,,,,,,,,,,,
2017,Nigeria,NGA,Africa,"Mambilla Plateau, Tabara State",Hydropower,Power Generation,Government,Ex-Im Bank,4930,Mambilla Hydroelectric Plant Co-financed with the Government of Nigeria,1,,,,,,,,,,,,,,,,,,,
2017,Pakistan,PAK,South Asia,"Thar, Sindh",Coal,Power Generation,ThalNova Power Thar (TNPTL),CDB,497.7,"ThalNova 330MW Power Project with Bank of China, China Credit Insurance Agency and Habib Bank Limited",1,,,,,,,,,,,,,,,,,,,
2017,Pakistan,PAK,South Asia,Jhelum River,Hydropower,Power Generation,Karot Power Company (Private) Ltd.,CDB-Ex-Im Cofinancing,1258.608,Karot Run-of-River Hydropower Project with Silk Road Fund and IFC,1,,,,,,,,,,,,,,,,,,,
2017,Pakistan,PAK,South Asia,"Hub Tehsil, Lasbela District, Balochistan Province",Coal,Power Generation,Government,CDB-Ex-Im Cofinancing,1496,Hubco Coal Power Plant Co-Financed by Consortium,1,,,,,,,,,,,,,,,,,,,
2017,Peru,PER,LAC,"San Gaban District in Carabaya Province, Puno Region",Hydropower,Power Generation,Hydro Global Peru S.A.C.,CDB,365,San Gaban III,1,,,,,,,,,,,,,,,,,,,
2017,Russia,RUS,Europe/Central Asia,Gydan Peninsula,Gas/LNG,Exploration and Extraction,Novatek,CDB,1200,Arctic LNG 2,1,,,,,,,,,,,,,,,,,,,
2017,South Africa,ZAF,Africa,Medupi,Coal,Power Generation,Eskom,CDB,1500,Medupi Coal Power Plant (6*794MW),1,,,,,,,,,,,,,,,,,,,
2017,Tajikistan,TJK,Europe/Central Asia,Nationwide,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,79,Rehabilitation of 500-kilowatt Power Transmission Line,1,,,,,,,,,,,,,,,,,,,
2017,Uzbekistan,UZB,Europe/Central Asia,"Pskem River, in the Tashkent region",Hydropower,Power Generation,Government,Ex-Im Bank,240,Upgrade of Three Hydro Power Plants,1,,,,,,,,,,,,,,,,,,,
2017,Uzbekistan,UZB,Europe/Central Asia,Qashqadaryo Province,Oil,Exploration and Extraction,Uzbekneftegaz,CDB,1200,Gas to Oil Processing Plant,1,,,,,,,,,,,,,,,,,,,
2017,Vietnam,VNM,Southeast Asia,"Duyên Hải District, Trà Vinh Province",Coal,Power Generation,Malakoff Bhd and Shanghai Electric Group (SHANGHAI) ,Ex-Im Bank,1800,Duyen Hai 2 Thermal Power Plant,1,,,,,,,,,,,,,,,,,,,
2018,Dominican Republic,DMR,LAC,Dominican Republic,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,600,to improve the electricity distribution system of the Dominican Republic,1,,,,,,,,,,,,,,,,,,,
2018,Guinea,GIN,Africa,"Konkoure River, 135km from Conakry",Hydropower,Power Generation,Government,Ex-Im Bank,1175,Souapiti Hydro Project,1,,,,,,,,,,,,,,,,,,,
2018,Laos,LAO,Southeast Asia,Thavieng-Laksao; Nam Phay-Thongkoun,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,199,230 KV Thavieng S/S-Laksao S/S and 115 KV Nam Phay HPP-Thongkoun2 S/S Transmission Lines Project,1,,,,,,,,,,,,,,,,,,,
2018,Laos,LAO,Southeast Asia,"Nam tha River, tributary on the left bank of the Mekong River in Bokeo Province",Hydropower,Power Generation,China Southern Power Grid & EDL,Ex-Im Bank,400,Nam Tha 1 Hydro Power Project,1,,,,,,,,,,,,,,,,,,,
2018,Malawi,MWI,Africa,"Kamwamba, Zalewa",Coal,Power Generation,Government,Ex-Im Bank,667,Kamwamba Power Plant,0,,,,,,,,,,,,,,,,,,,
2018,Nigeria,NGA,Africa,Delta Region,Gas/LNG,Exploration and Extraction,Government,Ex-Im Bank,500,Modular Refinery Flare Gas Recovery Programme,1,,,,,,,,,,,,,,,,,,,
2018,Pakistan,PAK,South Asia,"Thar, Sindh",Coal,Power Generation,Thar Energy Limited,CDB,497.7,"330MW mine-mouth lignite-fired power plant with Habib Bank Limited, and Fauji Fertiliser Company (FFC), along with other equity partners including Hub Power Company (Hubco)",1,,,,,,,,,,,,,,,,,,,
2018,South Africa,ZAF,Africa,,Coal,Power Generation,Eskom,CDB,2500,Kusile Power Plant,1,,,,,,,,,,,,,,,,,,,
2018,Sri Lanka,LKA,South Asia,"Thalpitigala Reservoir, Uma Oya",Hydropower,Power Generation,Government ,Ex-Im Bank,148,Thalpitigala Resovoir Dam,1,,,,,,,,,,,,,,,,,,,
2018,Sri Lanka,LKA,South Asia,Hambantota Port,Gas/LNG,Power Generation,Government,Ex-Im Bank,1000,Hambantota Natural Gas-Powered Electrical Station,1,,,,,,,,,,,,,,,,,,,
2018,Uzbekistan,UZB,Europe/Central Asia,Kashkadarya Region,Gas/LNG,Exploration and Extraction,Uzbekneftegaz,CDB,1000,Gas-to-Liquid Plant with Various Foreign Banks,1,,,,,,,,,,,,,,,,,,,
2009,Ethiopia,ETH,Africa,on a tributary of the Blue Nile,Hydropower,Power Generation,Ethiopian Electric Power,Ex-Im Bank,555,Chemoga-Yeda hydropower plant,1,,,,,,,,,,,,,,,,,,,
2011,Central African Republic,CAF,Africa,Bangui and surrounding areas,Hydropower,Power Generation,Government,Ex-Im Bank,30,Boali 3 Hydropower Project,0,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,Canar,Hydropower,Power Generation,Government,CDB,41.6,Mazar-Dudas Hydroelectric Project,1,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,Napo,Hydropower,Power Generation,Government,CDB,95.5,Quijos Hydroelectric Project,1,,,,,,,,,,,,,,,,,,,
2011,Ecuador,ECU,LAC,Zamora Chinchipe,Hydropower,Power Generation,Government,CDB,185,Delsitanisagua Hydroelectric Project,1,,,,,,,,,,,,,,,,,,,
2013,Romania,ROU,Europe/Central Asia,Brasov,Solar,Power Generation,Hareon,CDB,83,82 MW Solar Park in Romania,1,,,,,,,,,,,,,,,,,,,
2014,Ethiopia,ETH,Africa,the Geba River in western Ethiopia,Hydropower,Power Generation,Ethiopian Electric Power,Ex-Im Bank,466.4,Geba Hydropower Station,1,,,,,,,,,,,,,,,,,,,
2016,Pakistan,PAK,South Asia,"Port Qasim, Sindh, Pakistan",Coal,Power Generation,Government,CDB,750,Port Qasim Datang 1 (700MW),1,,,,,,,,,,,,,,,,,,,
2017,Pakistan,PAK,South Asia,"Jhimpir, Thatta District, Sindh Province",Wind,Power Generation,Three Gorges Second Wind Farm Pakistan Limited (TGS) and Three Gorges Third Wind Farm Pakistan Private Limited (TGT),CDB,224,Three Gorges Second and Third Wind Farm,1,,,,,,,,,,,,,,,,,,,
2018,Cote d'Ivoire,CIV,Africa,,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,824,Development and Rehabilitation of the Electricity Network of Côte d’Ivoire (Proderci) $824m for energy grid rehabilitation project,1,,,,,,,,,,,,,,,,,,,
2018,Papua New Guinea,PNG,Southeast Asia,Mount Hagen to Tari in Hela Province,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,157,132kv transmission lines (Hagen Mendi Tari Grid Development Project),1,,,,,,,,,,,,,,,,,,,
2015,Mongolia,MNG,East Asia,between Ulaanbaatar and Mandalgobi soum of Dundgobi aimag,Unspecified,Transmission and Distribution,Government ,Ex-Im Bank,113.04,330 kV Ulaanbaatar-Mandalgobi transmission line,1,,,,,,,,,,,,,,,,,,,
2001,Albania,ALB,Europe/Central Asia,Shkoder Province,Hydropower,Power Generation,,Ex-Im Bank,150,Bushat Hydropower Station,1,,,,,,,,,,,,,,,,,,,
2001,Iran,IRN,Middle East,Taleghan Valley,Hydropower,Power Generation,Tehran Regional Water Board,Ex-Im Bank,130.05,Taleghan Dam,1,,,,,,,,,,,,,,,,,,,
2002,Ethiopia,ETH,Africa,state of Tigray,Hydropower,Power Generation,Government,Ex-Im Bank,50,Tekeze Dam,1,,,,,,,,,,,,,,,,,,,
2006,Laos,LAO,Southeast Asia,district of Mueng Fueng,Hydropower,Power Generation,China International Water & Electric Corp (CWE) and Lao National Power Corporation,CDB,119.2,Nam Lik 1-2 Hydropower Station,1,,,,,,,,,,,,,,,,,,,
2007,Uzbekistan,UZB,Europe/Central Asia,Tashkent and Andijan,Hydropower,Power Generation,Government,Ex-Im Bank,18,Akhangaran water reservoir and Andijan HPP-2,1,,,,,,,,,,,,,,,,,,,
2009,Equa. Guinea,GNQ,Africa,Malabo,Gas/LNG,Power Generation,Government,Ex-Im Bank,138.8749,Expansion of Malabo Gas-Power plant,1,,,,,,,,,,,,,,,,,,,
2009,Ethiopia,ETH,Africa,Halele Werabesa River,Hydropower,Power Generation,Government,Ex-Im Bank,2269.5,Gibe IV and Halele Werabesa Dam,1,,,,,,,,,,,,,,,,,,,
2009,Uzbekistan,UZB,Europe/Central Asia,Tashkent,Unspecified,Transmission and Distribution,Uzbekenergo,Ex-Im Bank,26.3,Tashkent Power Supply Rennovation,1,,,,,,,,,,,,,,,,,,,
2009,Vietnam,VNM,Southeast Asia,Thành phố Uông Bí,Coal,Power Generation,Vietnam Electricity (EVN),Ex-Im Bank,178.5,Expansion of Uong Bi II Power Plant,1,,,,,,,,,,,,,,,,,,,
2009,Zambia,ZMB,Africa,"Northern, Zambia",Hydropower,Power Generation,Government,Ex-Im Bank,189.9,Lusiwasi Lower Hydropower Expansion Project & Lunzua Hydropower Rehabilitation Project,1,,,,,,,,,,,,,,,,,,,
2011,Gabon,GAB,Africa,Libreville,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,130,Gabon Libreville Electric Network Renovation Project,1,,,,,,,,,,,,,,,,,,,
2011,Laos,LAO,Southeast Asia,four dams in Phongsaly province,Hydropower,Power Generation,PowerChina,CDB,770,"Nam Ou hydropower project phase 2 (Nam Ou 1, 3, 4, 7)",1,,,,,,,,,,,,,,,,,,,
2011,Laos,LAO,Southeast Asia,Xieng Khouang Charles plains,Hydropower,Power Generation,China International Water & Electric Corp (CWE) and Lao National Power Corporation,CDB,345,Nam Ngiep 2 hydropower plant,1,,,,,,,,,,,,,,,,,,,
2012,Angola,AGO,Africa,"Menongue, Kuando Kubango province",Unspecified,Transmission and Distribution,Government,Ex-Im Bank,53,install and expand the medium and high voltage power grid in the city of Menongue,1,,,,,,,,,,,,,,,,,,,
2012,Republic of Congo,COG,Africa,Lengoué River,Hydropower,Power Generation,Government,Ex-Im Bank,110,Liouesso Hydropower Project 19MW,1,,,,,,,,,,,,,,,,,,,
2012,Uzbekistan,UZB,Europe/Central Asia,Tashkent,Gas/LNG,Power Generation,Uzbekenergo,CDB,220,370-MW CCGT Construction on Tashkent TPS,1,,,,,,,,,,,,,,,,,,,
2012,Uzbekistan,UZB,Europe/Central Asia,between the eastern and central parts of the country,Unspecified,Transmission and Distribution,Uzbekenergo,Ex-Im Bank,37.1,500 kV overhead transmission line Syrdarya TPS – Novo-Angren TPS,1,,,,,,,,,,,,,,,,,,,
2013,Angola,AGO,Africa,Unspecified,Oil,Exploration and Extraction,Sonangol,CDB,1320,loan to Sonangol,1,,,,,,,,,,,,,,,,,,,
2013,Cambodia,KHM,Southeast Asia,Kandal Province-Kampong Speu Province-Phnom Penh,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,75.86,Phnom Penh Loop Line Phase 2,1,,,,,,,,,,,,,,,,,,,
2013,Cambodia,KHM,Southeast Asia,"Prey Veng, Svay Rieng and partially Kandal",Unspecified,Transmission and Distribution,Government,Ex-Im Bank,121,115kV Transmission Line and Substation from Phnom Penh to Bavet Project,1,,,,,,,,,,,,,,,,,,,
2013,South Sudan,SSD,Africa,"Eastern Equatoria, Louis Lobong Lojore",Hydropower,Power Generation,Government,Ex-Im Bank,27,Kinyeti Hydropower project,1,,,,,,,,,,,,,,,,,,,
2015,"Benin, Togo","BEN, TGO",Africa,about 350 km north of Lome,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,19,Sokode Electric Transformer Station,1,,,,,,,,,,,,,,,,,,,
2015,Cambodia,KHM,Southeast Asia,Tatay-Cheay Arenge-Highway No.38 x No.4 intersection - Phnom Penh,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,90,Loop network in southwest regions,1,,,,,,,,,,,,,,,,,,,
2015,Cote d'Ivoire,CIV,Africa,Rural Cote d'Ivoire,Unspecified,Transmission and Distribution,Government ,Ex-Im Bank,778,National power grid upgrade project,1,,,,,,,,,,,,,,,,,,,
2015,Eritrea,ERI,Africa,"Massawa, Eritrea",Hydropower,Power Generation,Government,Ex-Im Bank,98,Hirgigo Hydropower plant upgrade,0,,,,,,,,,,,,,,,,,,,
2015,Ethiopia,ETH,Africa,"Lot 3, Addis Ababa-Djibouti Railway",Unspecified,Transmission and Distribution,Ethiopian Electric Power,Ex-Im Bank,27.7,Ethiopia-Djibouti Railway power supply,1,,,,,,,,,,,,,,,,,,,
2015,Kenya,KEN,Africa,Rabai - Malindi - Garsen - Lamu,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,94.3029360295547,Rabai - Malindi - Garsen - Lamu Transmission line,1,,,,,,,,,,,,,,,,,,,
2016,Cambodia,KHM,Southeast Asia,11 provinces in Cambodia,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,90,Rural Power Grid Extension Project Phase 3 and 4,1,,,,,,,,,,,,,,,,,,,
2016,Cambodia,KHM,Southeast Asia,Northeastern Cambodia,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,90,Rural Power Grid Extension Project Phase 2,1,,,,,,,,,,,,,,,,,,,
2016,Djibouti,DJI,Africa,Nagad-HollHoll-AliSabieh,Unspecified,Transmission and Distribution,Government,Ex-Im Bank,24,Addis-Djibouti Railway Nagad-HollHoll-AliSabieh Power Supply,1,,,,,,,,,,,,,,,,,,,
